,Period,Permit_Number,construction,Homes_Sold,Housing_Starts
1,1/1/2000,1727,353065,873,1636
2,1/2/2000,1692,351933,856,1737
3,1/3/2000,1651,353452,900,1604
4,1/4/2000,1597,356188,841,1626
5,1/5/2000,1543,349907,857,1575
6,1/6/2000,1572,348133,793,1559
7,1/7/2000,1542,337374,887,1463
8,1/8/2000,1552,337583,848,1541
9,1/9/2000,1570,339048,912,1507
10,1/10/2000,1577,344095,933,1549
11,1/11/2000,1614,347301,880,1551
12,1/12/2000,1543,344139,983,1532
13,1/1/2001,1699,348279,936,1600
14,1/2/2001,1656,353629,963,1625
15,1/3/2001,1659,350029,939,1590
16,1/4/2001,1666,361991,909,1649
17,1/5/2001,1665,360534,885,1605
18,1/6/2001,1626,365905,882,1636
19,1/7/2001,1598,366500,880,1670
20,1/8/2001,1615,369000,866,1567
21,1/9/2001,1565,368809,853,1562
22,1/10/2001,1566,370957,871,1540
23,1/11/2001,1651,375803,924,1602
24,1/12/2001,1680,376279,979,1568
25,1/1/2002,1665,377631,880,1698
26,1/2/2002,1787,385745,948,1829
27,1/3/2002,1691,385406,923,1642
28,1/4/2002,1669,398990,936,1592
29,1/5/2002,1716,394223,978,1764
30,1/6/2002,1758,401920,957,1717
31,1/7/2002,1738,404632,956,1655
32,1/8/2002,1695,398875,1014,1633
33,1/9/2002,1803,394820,1044,1804
34,1/10/2002,1799,397077,1006,1648
35,1/11/2002,1771,401424,1024,1753
36,1/12/2002,1896,411758,1048,1788
37,1/1/2003,1808,417788,999,1853
38,1/2/2003,1854,417500,936,1629
39,1/3/2003,1757,413303,999,1726
40,1/4/2003,1803,420510,1012,1643
41,1/5/2003,1835,421143,1078,1751
42,1/6/2003,1875,430929,1193,1867
43,1/7/2003,1885,448917,1168,1897
44,1/8/2003,1966,453031,1206,1833
45,1/9/2003,1961,458676,1131,1939
46,1/10/2003,2012,469855,1144,1967
47,1/11/2003,1918,485245,1093,2083
48,1/12/2003,1987,503356,1129,2057
49,1/1/2004,1952,498640,1165,1911
50,1/2/2004,1966,500439,1159,1846
51,1/3/2004,2066,506879,1276,1998
52,1/4/2004,2070,512400,1186,2003
53,1/5/2004,2150,522534,1241,1981
54,1/6/2004,2020,527794,1180,1828
55,1/7/2004,2112,543260,1088,2002
56,1/8/2004,2056,551447,1175,2024
57,1/9/2004,2041,546306,1214,1905
58,1/10/2004,2097,551137,1305,2072
59,1/11/2004,2079,550392,1179,1782
60,1/12/2004,2082,566284,1242,2042
61,1/1/2005,2139,575650,1203,2144
62,1/2/2005,2114,588435,1319,2207
63,1/3/2005,2062,591580,1328,1864
64,1/4/2005,2150,598335,1260,2061
65,1/5/2005,2085,603707,1286,2025
66,1/6/2005,2178,616958,1274,2068
67,1/7/2005,2203,628750,1389,2054
68,1/8/2005,2219,633710,1255,2095
69,1/9/2005,2263,647374,1244,2151
70,1/10/2005,2170,658590,1336,2065
71,1/11/2005,2218,665376,1214,2147
72,1/12/2005,2120,670522,1239,1994
73,1/1/2006,2212,675679,1174,2273
74,1/2/2006,2141,678562,1061,2119
75,1/3/2006,2118,668311,1116,1969
76,1/4/2006,1998,650388,1123,1821
77,1/5/2006,1905,633815,1086,1942
78,1/6/2006,1867,615053,1074,1802
79,1/7/2006,1763,598487,965,1737
80,1/8/2006,1722,584460,1035,1650
81,1/9/2006,1655,573878,1016,1720
82,1/10/2006,1570,561444,941,1491
83,1/11/2006,1535,548971,1003,1570
84,1/12/2006,1638,545011,998,1649
85,1/1/2007,1626,537571,891,1409
86,1/2/2007,1598,531641,828,1480
87,1/3/2007,1596,527865,833,1495
88,1/4/2007,1470,523666,887,1490
89,1/5/2007,1493,514131,842,1415
90,1/6/2007,1407,505936,793,1448
91,1/7/2007,1361,495976,778,1354
92,1/8/2007,1321,480974,699,1330
93,1/9/2007,1261,465709,686,1183
94,1/10/2007,1192,447819,727,1264
95,1/11/2007,1224,431878,641,1197
96,1/12/2007,1149,416486,619,1037
97,1/1/2008,1094,402138,627,1084
98,1/2/2008,1014,386197,593,1103
99,1/3/2008,967,390471,535,1005
100,1/4/2008,1008,385328,536,1013
101,1/5/2008,995,381911,504,973
102,1/6/2008,1180,374495,487,1046
103,1/7/2008,921,364873,477,923
104,1/8/2008,858,352598,435,844
105,1/9/2008,797,340396,433,820
106,1/10/2008,736,329304,393,777
107,1/11/2008,626,312540,389,652
108,1/12/2008,554,293997,377,560
109,1/1/2009,545,283870,336,490
110,1/2/2009,558,267938,372,582
111,1/3/2009,513,254645,339,505
112,1/4/2009,521,243958,337,478
113,1/5/2009,556,237188,376,540
114,1/6/2009,601,237343,393,585
115,1/7/2009,595,244141,411,594
116,1/8/2009,616,250768,418,586
117,1/9/2009,609,254135,386,585
118,1/10/2009,583,254942,396,534
119,1/11/2009,623,255941,375,588
120,1/12/2009,664,255801,352,581
121,1/1/2010,636,254826,345,614
122,1/2/2010,650,255121,336,604
123,1/3/2010,687,253924,381,636
124,1/4/2010,637,254574,422,687
125,1/5/2010,575,252896,280,583
126,1/6/2010,587,250518,305,536
127,1/7/2010,579,244354,283,546
128,1/8/2010,580,238695,282,599
129,1/9/2010,563,237834,317,594
130,1/10/2010,558,236512,291,543
131,1/11/2010,560,237468,287,545
132,1/12/2010,632,239030,326,539
133,1/1/2011,576,240548,307,630
134,1/2/2011,542,240062,270,517
135,1/3/2011,583,241586,300,600
136,1/4/2011,581,244598,310,554
137,1/5/2011,618,245449,305,561
138,1/6/2011,636,247520,301,608
139,1/7/2011,621,249770,296,623
140,1/8/2011,647,251877,299,585
141,1/9/2011,610,250152,304,650
142,1/10/2011,671,252821,316,610
143,1/11/2011,706,247279,328,711
144,1/12/2011,697,247983,341,694
145,1/1/2012,712,251869,335,723
146,1/2/2012,738,247503,366,704
147,1/3/2012,806,252283,354,695
148,1/4/2012,732,258567,354,753
149,1/5/2012,796,263797,370,708
150,1/6/2012,794,269664,360,757
151,1/7/2012,849,273587,369,740
152,1/8/2012,840,279216,375,754
153,1/9/2012,930,286120,385,847
154,1/10/2012,887,294197,358,915
155,1/11/2012,917,296510,392,833
156,1/12/2012,941,299101,399,976
157,1/1/2013,940,303792,446,888
158,1/2/2013,980,309078,447,962
159,1/3/2013,936,312083,444,1010
160,1/4/2013,1012,316537,441,835
161,1/5/2013,1003,321706,428,930
162,1/6/2013,942,324770,470,839
163,1/7/2013,997,328388,375,880
164,1/8/2013,964,335690,381,917
165,1/9/2013,1004,339977,403,850
166,1/10/2013,1044,346273,444,925
167,1/11/2013,1029,353317,446,1100
168,1/12/2013,1007,360754,433,1002
169,1/1/2014,976,367522,443,888
170,1/2/2014,1039,364391,420,944
171,1/3/2014,1067,370368,405,970
172,1/4/2014,1090,375235,403,1043
173,1/5/2014,1018,377661,451,1007
174,1/6/2014,1010,371860,418,911
175,1/7/2014,1076,371532,402,1085
176,1/8/2014,1047,373163,456,984
177,1/9/2014,1077,381377,470,1023
178,1/10/2014,1094,385996,476,1074
179,1/11/2014,1059,392280,442,1001
180,1/12/2014,1070,402301,497,1073
181,1/1/2015,1048,405483,515,1085
182,1/2/2015,1127,411534,540,886
183,1/3/2015,1078,412105,480,960
184,1/4/2015,1161,415354,502,1190
185,1/5/2015,1275,423855,502,1079
186,1/6/2015,1378,432084,480,1205
187,1/7/2015,1139,437549,506,1146
188,1/8/2015,1165,438637,518,1130
189,1/9/2015,1143,446379,456,1224
190,1/10/2015,1158,448718,482,1058
191,1/11/2015,1245,447590,504,1172
192,1/12/2015,1209,454428,546,1146
193,1/1/2016,1167,458300,509,1103
194,1/2/2016,1186,459376,515,1203
195,1/3/2016,1119,472356,526,1114
196,1/4/2016,1155,469303,571,1158
197,1/5/2016,1198,468554,560,1131
198,1/6/2016,1204,472390,558,1200
199,1/7/2016,1193,475371,639,1245
200,1/8/2016,1203,478473,584,1155
201,1/9/2016,1282,480518,567,1072
202,1/10/2016,1271,497911,577,1321
203,1/11/2016,1236,504344,571,1150
204,1/12/2016,1251,514603,561,1267
205,1/1/2017,1313,513586,585,1206
206,1/2/2017,1239,536522,597,1282
207,1/3/2017,1292,530177,631,1186
208,1/4/2017,1255,534992,589,1150
209,1/5/2017,1209,534302,613,1123
210,1/6/2017,1326,533206,620,1243
211,1/7/2017,1265,539722,565,1207
212,1/8/2017,1309,539160,560,1163
213,1/9/2017,1257,541370,638,1174
214,1/10/2017,1339,539543,627,1256
215,1/11/2017,1299,560127,712,1300
216,1/12/2017,1312,568337,657,1199
217,1/1/2018,1365,575299,622,1314
218,1/2/2018,1332,585549,637,1288
219,1/3/2018,1415,576915,662,1335
220,1/4/2018,1387,575694,637,1269
221,1/5/2018,1330,574864,657,1334
222,1/6/2018,1317,564660,613,1190
223,1/7/2018,1331,556155,617,1195
224,1/8/2018,1258,547261,598,1280
225,1/9/2018,1290,547817,596,1246
226,1/10/2018,1267,536260,552,1207
227,1/11/2018,1319,534182,614,1204
228,1/12/2018,1334,522581,564,1117
229,1/1/2019,1316,528328,637,1272
230,1/2/2019,1305,523569,665,1137
231,1/3/2019,1327,525424,700,1203
232,1/4/2019,1330,530800,664,1267
233,1/5/2019,1338,532148,600,1268
234,1/6/2019,1273,538372,726,1235
235,1/7/2019,1366,543830,661,1212
236,1/8/2019,1471,552508,706,1377
237,1/9/2019,1437,555879,726,1274
238,1/10/2019,1503,556693,706,1340
239,1/11/2019,1510,566916,696,1371
240,1/12/2019,1457,572387,731,1587
241,1/1/2020,1536,589103,774,1617
242,1/2/2020,1438,592960,716,1567
243,1/3/2020,1356,588060,612,1269
244,1/4/2020,1066,562339,570,934
245,1/5/2020,1216,539555,698,1038
246,1/6/2020,1258,553721,840,1265
247,1/7/2020,1483,575451,979,1487
248,1/8/2020,1476,615396,977,1373
249,1/9/2020,1545,619090,965,1437
250,1/10/2020,1544,637138,945,1528
